"obs","w1_type","est","true","fd_z"
"full observability","continuous key explanatory variable",-0.35352,-0.35547,0.198938
"full observability","continuous key explanatory variable",-0.119289,-0.119362,0.469919
"full observability","continuous key explanatory variable",-0.419035,-0.421716,-0.10755
"full observability","continuous key explanatory variable",-0.370172,-0.371694,-0.524871
"full observability","continuous key explanatory variable",-0.772023,-0.802963,0.349821
"full observability","continuous key explanatory variable",0.621515,0.635579,0.181811
"full observability","continuous key explanatory variable",0.118601,0.118674,0.268891
"full observability","continuous key explanatory variable",0.393655,0.396278,-0.407871
"full observability","continuous key explanatory variable",-0.385929,-0.389057,0.491874
"full observability","continuous key explanatory variable",-0.50808,-0.511332,-0.152749
"full observability","continuous key explanatory variable",-0.680598,-0.701585,0.471833
"full observability","continuous key explanatory variable",0.416299,0.41999,-0.244811
"full observability","continuous key explanatory variable",0.454169,0.452773,0.659457
"full observability","continuous key explanatory variable",-0.477627,-0.473996,-0.281275
"full observability","continuous key explanatory variable",-0.267935,-0.268458,0.0400184
"full observability","continuous key explanatory variable",-0.702112,-0.724621,0.389595
"full observability","continuous key explanatory variable",-0.403895,-0.40294,-0.556492
"full observability","continuous key explanatory variable",0.680596,0.701544,0.692854
"full observability","continuous key explanatory variable",0.841634,0.889303,0.272413
"full observability","continuous key explanatory variable",0.612006,0.624657,0.451806
"full observability","continuous key explanatory variable",0.254088,0.254724,0.402035
"full observability","continuous key explanatory variable",-0.720573,-0.746173,0.499802
"full observability","continuous key explanatory variable",0.450514,0.452529,0.209653
"full observability","continuous key explanatory variable",-0.102069,-0.101739,-0.351039
"full observability","continuous key explanatory variable",0.201183,0.201546,-0.474031
"full observability","continuous key explanatory variable",0.492163,0.498934,0.648332
"full observability","continuous key explanatory variable",0.477499,0.483242,-0.440942
"full observability","continuous key explanatory variable",0.38678,0.38695,-0.604332
"full observability","continuous key explanatory variable",0.506405,0.511284,-0.19997
"full observability","continuous key explanatory variable",-0.347271,-0.349489,0.218963
"full observability","continuous key explanatory variable",0.750699,0.780331,-0.4158
"full observability","continuous key explanatory variable",-0.473239,-0.479219,0.204814
"full observability","continuous key explanatory variable",-0.291128,-0.292312,-0.120722
"full observability","continuous key explanatory variable",0.574132,0.585086,0.323543
"full observability","continuous key explanatory variable",0.649998,0.66745,0.4777
"full observability","continuous key explanatory variable",0.492751,0.494183,0.430908
"full observability","continuous key explanatory variable",0.655948,0.674099,-0.685705
"full observability","continuous key explanatory variable",-0.407615,-0.411216,-0.489336
"full observability","continuous key explanatory variable",0.700205,0.723171,-0.145641
"full observability","continuous key explanatory variable",0.582713,0.593127,0.256522
"full observability","continuous key explanatory variable",-0.412124,-0.408031,0.328361
"full observability","continuous key explanatory variable",0.731848,0.759216,0.337686
"full observability","continuous key explanatory variable",-0.300668,-0.30208,0.304311
"full observability","continuous key explanatory variable",-0.498097,-0.504284,-0.291111
"full observability","continuous key explanatory variable",0.821349,0.866158,-0.359856
"full observability","continuous key explanatory variable",-0.682412,-0.703636,0.445711
"full observability","continuous key explanatory variable",-0.241883,-0.242557,0.610533
"full observability","continuous key explanatory variable",-0.607306,-0.621181,0.209298
"full observability","continuous key explanatory variable",0.224642,0.223049,0.376776
"full observability","continuous key explanatory variable",-0.252569,-0.252848,-0.195378
"full observability","continuous key explanatory variable",0.359036,0.361214,0.263028
"full observability","continuous key explanatory variable",0.740987,0.761189,0.188794
"full observability","continuous key explanatory variable",0.471099,0.476971,-0.135324
"full observability","continuous key explanatory variable",0.344766,0.346093,-0.505061
"full observability","continuous key explanatory variable",-0.4899,-0.495531,0.373401
"full observability","continuous key explanatory variable",-0.119388,-0.11943,-0.0948301
"full observability","continuous key explanatory variable",-0.569271,-0.572209,-0.416602
"full observability","continuous key explanatory variable",0.208315,0.208396,0.497235
"full observability","continuous key explanatory variable",0.451798,0.456356,0.25175
"full observability","continuous key explanatory variable",0.600329,0.607932,0.693334
"full observability","continuous key explanatory variable",-0.440726,-0.445312,-0.694363
"full observability","continuous key explanatory variable",0.377594,0.380225,-0.436965
"full observability","continuous key explanatory variable",-0.770035,-0.803484,-0.38033
"full observability","continuous key explanatory variable",0.82439,0.864499,-0.26249
"full observability","continuous key explanatory variable",0.103489,0.103525,0.25052
"full observability","continuous key explanatory variable",0.610312,0.624353,0.269625
"full observability","continuous key explanatory variable",0.700268,0.718459,-0.13683
"full observability","continuous key explanatory variable",-0.471938,-0.476837,0.252838
"full observability","continuous key explanatory variable",0.644431,0.661567,-0.416882
"full observability","continuous key explanatory variable",-0.324212,-0.325887,-0.62348
"full observability","continuous key explanatory variable",0.104359,0.104183,-0.271221
"full observability","continuous key explanatory variable",0.441909,0.440073,0.474656
"full observability","continuous key explanatory variable",0.410414,0.410575,-0.335456
"full observability","continuous key explanatory variable",-0.576737,-0.588323,-0.252255
"full observability","continuous key explanatory variable",-0.226128,-0.226028,0.313684
"full observability","continuous key explanatory variable",-0.45654,-0.461812,0.448843
"full observability","continuous key explanatory variable",-0.474821,-0.480848,0.346696
"full observability","continuous key explanatory variable",-0.686672,-0.703704,-0.183479
"full observability","continuous key explanatory variable",-0.724477,-0.749819,-0.411775
"full observability","continuous key explanatory variable",0.435763,0.440014,-0.534061
"full observability","continuous key explanatory variable",-0.183677,-0.183853,0.477875
"full observability","continuous key explanatory variable",0.735991,0.764377,-0.504245
"full observability","continuous key explanatory variable",-0.81453,-0.856876,-0.198171
"full observability","continuous key explanatory variable",-0.641441,-0.656313,-0.174469
"full observability","continuous key explanatory variable",0.674495,0.693005,-0.509453
"full observability","continuous key explanatory variable",-0.565269,-0.576147,-0.391341
"full observability","continuous key explanatory variable",0.0861927,0.0859007,-0.242057
"full observability","continuous key explanatory variable",0.339654,0.341453,0.165511
"full observability","continuous key explanatory variable",-0.688345,-0.700922,-0.176356
"full observability","continuous key explanatory variable",-0.88024,-0.942977,0.617398
"full observability","continuous key explanatory variable",0.534821,0.542826,-0.209506
"full observability","continuous key explanatory variable",-0.306867,-0.30814,-0.411091
"full observability","continuous key explanatory variable",-0.438393,-0.443045,-0.570527
"full observability","continuous key explanatory variable",-0.698081,-0.718738,0.317844
"full observability","continuous key explanatory variable",-0.345083,-0.347233,0.448468
"full observability","continuous key explanatory variable",0.425713,0.429261,-0.136875
"full observability","continuous key explanatory variable",0.618745,0.631408,-0.196003
"full observability","continuous key explanatory variable",0.429688,0.432836,-0.469605
"full observability","continuous key explanatory variable",-0.515207,-0.521732,0.16129
"full observability","continuous key explanatory variable",0.0672435,0.0672616,-0.442318
"full observability","continuous key explanatory variable",-0.503435,-0.509985,-0.204622
"full observability","continuous key explanatory variable",-0.476355,-0.48178,0.219133
"full observability","continuous key explanatory variable",-0.685828,-0.703754,-0.280456
"full observability","continuous key explanatory variable",0.301384,0.302779,-0.343736
"full observability","continuous key explanatory variable",0.497349,0.500966,0.508362
"full observability","continuous key explanatory variable",-0.814612,-0.85791,0.433764
"full observability","continuous key explanatory variable",-0.678629,-0.695903,-0.539176
"full observability","continuous key explanatory variable",0.14838,0.147491,-0.157904
"full observability","continuous key explanatory variable",0.332059,0.333532,-0.416767
"full observability","continuous key explanatory variable",-0.520746,-0.52366,-0.469056
"full observability","continuous key explanatory variable",-0.499581,-0.504017,0.327526
"full observability","continuous key explanatory variable",-0.86309,-0.918392,0.539735
"full observability","continuous key explanatory variable",-0.608334,-0.621767,0.550523
"full observability","continuous key explanatory variable",-0.649731,-0.666297,-0.219756
"full observability","continuous key explanatory variable",-0.566366,-0.577233,-0.149786
"full observability","continuous key explanatory variable",-0.223456,-0.224076,-0.333707
"full observability","continuous key explanatory variable",0.490868,0.496973,0.112781
"full observability","continuous key explanatory variable",-0.42324,-0.426118,0.221873
"full observability","continuous key explanatory variable",0.215463,0.214527,0.279868
"full observability","continuous key explanatory variable",-0.604252,-0.616234,0.179437
"full observability","continuous key explanatory variable",-0.433543,-0.438005,-0.225619
"full observability","continuous key explanatory variable",0.825027,0.870705,-0.204933
"full observability","continuous key explanatory variable",-0.523228,-0.531558,-0.100563
"full observability","continuous key explanatory variable",0.50142,0.507916,0.393017
"full observability","continuous key explanatory variable",0.30897,0.309998,-0.411081
"full observability","continuous key explanatory variable",0.694148,0.715291,-0.3279
"full observability","continuous key explanatory variable",-0.517144,-0.524575,0.197659
"full observability","continuous key explanatory variable",0.579094,0.586491,-0.412876
"full observability","continuous key explanatory variable",0.199452,0.199865,-0.300721
"full observability","continuous key explanatory variable",-0.833671,-0.874808,0.45872
"full observability","continuous key explanatory variable",0.306257,0.307772,0.489268
"full observability","continuous key explanatory variable",-0.160471,-0.160633,-0.515803
"full observability","continuous key explanatory variable",-0.456618,-0.46195,-0.440254
"full observability","continuous key explanatory variable",-0.26038,-0.260823,-0.198596
"full observability","continuous key explanatory variable",0.427119,0.431253,0.172551
"full observability","continuous key explanatory variable",0.59444,0.607308,-0.387153
"full observability","continuous key explanatory variable",0.29256,0.292712,0.433472
"full observability","continuous key explanatory variable",-0.459249,-0.464372,-0.368769
"full observability","continuous key explanatory variable",0.683249,0.704547,-0.210634
"full observability","continuous key explanatory variable",-0.679421,-0.700258,-0.451005
"full observability","continuous key explanatory variable",-0.766178,-0.79746,0.247603
"full observability","continuous key explanatory variable",-0.281086,-0.282212,0.315101
"full observability","continuous key explanatory variable",0.681544,0.693418,0.394795
"full observability","continuous key explanatory variable",-0.0555019,-0.0551055,-0.350794
"full observability","continuous key explanatory variable",0.335684,0.337605,0.342234
"full observability","continuous key explanatory variable",-0.185659,-0.185785,0.230129
"full observability","continuous key explanatory variable",0.115065,0.113586,0.301956
"full observability","continuous key explanatory variable",0.55254,0.558447,-0.179617
"full observability","continuous key explanatory variable",-0.078642,-0.0786173,-0.378971
"full observability","continuous key explanatory variable",0.342382,0.344499,0.200177
"full observability","continuous key explanatory variable",-0.206017,-0.206101,0.588887
"full observability","continuous key explanatory variable",0.37733,0.379699,-0.0559368
"full observability","continuous key explanatory variable",0.554747,0.564046,-0.172903
"full observability","continuous key explanatory variable",0.235079,0.235015,0.188783
"full observability","continuous key explanatory variable",-0.20058,-0.200481,-0.281981
"full observability","continuous key explanatory variable",0.860578,0.916179,-0.184549
"full observability","continuous key explanatory variable",-0.113553,-0.11363,0.449965
"full observability","continuous key explanatory variable",-0.375543,-0.378303,-0.128901
"full observability","continuous key explanatory variable",-0.0843135,-0.0843585,0.32131
"full observability","continuous key explanatory variable",-0.364782,-0.365945,-0.442127
"full observability","continuous key explanatory variable",-0.392128,-0.395406,-0.305457
"full observability","continuous key explanatory variable",-0.283897,-0.282113,0.331741
"full observability","continuous key explanatory variable",-0.267312,-0.268258,0.479591
"full observability","continuous key explanatory variable",0.658207,0.676706,-0.688346
"full observability","continuous key explanatory variable",-0.605146,-0.617705,0.400144
"full observability","continuous key explanatory variable",-0.141835,-0.142013,0.599391
"full observability","continuous key explanatory variable",0.608457,0.619256,0.256928
"full observability","continuous key explanatory variable",0.0775256,0.0775489,0.490289
"full observability","continuous key explanatory variable",0.671732,0.691022,0.141219
"full observability","continuous key explanatory variable",-0.325597,-0.327299,-0.395332
"full observability","continuous key explanatory variable",0.473179,0.477392,-0.327139
"full observability","continuous key explanatory variable",-0.218919,-0.219539,-0.322558
"full observability","continuous key explanatory variable",-0.601752,-0.614186,0.312624
"full observability","continuous key explanatory variable",0.63484,0.648791,-0.528691
"full observability","continuous key explanatory variable",0.541076,0.550292,-0.596648
"full observability","continuous key explanatory variable",-0.872085,-0.926737,-0.29277
"full observability","continuous key explanatory variable",0.607428,0.621002,0.459128
"full observability","continuous key explanatory variable",0.528531,0.534964,-0.288341
"full observability","continuous key explanatory variable",-0.243446,-0.244241,-0.418649
"full observability","continuous key explanatory variable",0.337504,0.336639,0.18009
"full observability","continuous key explanatory variable",-0.34964,-0.346745,0.323032
"full observability","continuous key explanatory variable",-0.295173,-0.296081,-0.21375
"full observability","continuous key explanatory variable",-0.56552,-0.575796,-0.304301
"full observability","continuous key explanatory variable",0.31026,0.3048,0.456819
"full observability","continuous key explanatory variable",-0.622858,-0.635772,0.294257
"full observability","continuous key explanatory variable",0.503123,0.51039,-0.123363
"full observability","continuous key explanatory variable",-0.563071,-0.573316,0.325647
"full observability","continuous key explanatory variable",0.362924,0.364431,-0.117734
"full observability","continuous key explanatory variable",-0.602773,-0.616228,-0.0948313
"full observability","continuous key explanatory variable",0.547655,0.555565,0.673323
"full observability","continuous key explanatory variable",0.385473,0.387212,0.460645
"full observability","continuous key explanatory variable",0.406944,0.410521,-0.334319
"full observability","continuous key explanatory variable",-0.781618,-0.817857,0.576451
"full observability","continuous key explanatory variable",-0.326778,-0.328437,-0.394953
"full observability","continuous key explanatory variable",0.744745,0.76136,0.311753
"full observability","continuous key explanatory variable",-0.547245,-0.556953,0.411802
"full observability","continuous key explanatory variable",-0.804495,-0.844535,0.20222
"full observability","continuous key explanatory variable",0.856633,0.911212,0.339226
"full observability","continuous key explanatory variable",-0.504407,-0.511643,0.498149
"full observability","continuous key explanatory variable",-0.66722,-0.683284,0.215539
"full observability","continuous key explanatory variable",-0.0998772,-0.0998814,0.0290254
"full observability","continuous key explanatory variable",0.112318,0.112062,0.523919
"full observability","continuous key explanatory variable",-0.264418,-0.263769,0.450593
"full observability","continuous key explanatory variable",-0.340062,-0.339584,0.251494
"full observability","continuous key explanatory variable",0.864624,0.921918,-0.119538
"full observability","continuous key explanatory variable",-0.497305,-0.503717,-0.14927
"full observability","continuous key explanatory variable",0.429125,0.43052,-0.565859
"full observability","continuous key explanatory variable",-0.309901,-0.311185,0.163261
"full observability","continuous key explanatory variable",0.162596,0.162715,-0.106171
"full observability","continuous key explanatory variable",0.331189,0.332694,0.502602
"full observability","continuous key explanatory variable",0.00269363,0.00269279,0.309148
"full observability","continuous key explanatory variable",-0.289596,-0.290842,-0.412168
"full observability","continuous key explanatory variable",-0.475293,-0.481353,-0.518671
"full observability","continuous key explanatory variable",0.284344,0.285212,0.466506
"full observability","continuous key explanatory variable",0.674549,0.694016,-0.386573
"full observability","continuous key explanatory variable",0.470325,0.476169,-0.447499
"full observability","continuous key explanatory variable",-0.592021,-0.604075,0.448024
"full observability","continuous key explanatory variable",-0.157522,-0.157668,-0.420054
"full observability","continuous key explanatory variable",0.216815,0.217336,-0.178589
"full observability","continuous key explanatory variable",0.657132,0.674938,-0.725442
"full observability","continuous key explanatory variable",0.293784,0.295093,0.618867
"full observability","continuous key explanatory variable",-0.379547,-0.382525,-0.360913
"full observability","continuous key explanatory variable",-0.59628,-0.6061,0.4216
"full observability","continuous key explanatory variable",0.549,0.55529,-0.189564
"full observability","continuous key explanatory variable",-0.304919,-0.306391,-0.391931
"full observability","continuous key explanatory variable",-0.221776,-0.221479,-0.0872985
"full observability","continuous key explanatory variable",0.257276,0.257783,0.350201
"full observability","continuous key explanatory variable",-0.661288,-0.678971,0.326004
"full observability","continuous key explanatory variable",0.684122,0.702354,-0.378334
"full observability","continuous key explanatory variable",0.695731,0.715774,0.433513
"full observability","continuous key explanatory variable",-0.124796,-0.12489,0.383796
"full observability","continuous key explanatory variable",-0.522519,-0.530716,0.265754
"full observability","continuous key explanatory variable",-0.556418,-0.561001,0.199518
"full observability","continuous key explanatory variable",-0.659304,-0.676839,0.247335
"full observability","continuous key explanatory variable",0.390658,0.393839,-0.402126
"full observability","continuous key explanatory variable",0.217828,0.214557,0.331205
"full observability","continuous key explanatory variable",-0.580127,-0.590898,-0.259166
"full observability","continuous key explanatory variable",-0.500865,-0.50809,-0.261486
"full observability","continuous key explanatory variable",-0.786231,-0.822981,0.341223
"full observability","continuous key explanatory variable",0.51258,0.515795,-0.299339
"full observability","continuous key explanatory variable",0.398811,0.402065,0.375241
"full observability","continuous key explanatory variable",-0.432562,-0.426915,0.44176
"full observability","continuous key explanatory variable",-0.724667,-0.751208,0.489716
"full observability","continuous key explanatory variable",-0.26652,-0.266764,0.399793
"full observability","continuous key explanatory variable",-0.280713,-0.281819,-0.242721
"full observability","continuous key explanatory variable",0.193962,0.194313,0.245599
"full observability","continuous key explanatory variable",-0.412428,-0.416287,0.158708
"full observability","continuous key explanatory variable",0.312198,0.313385,0.294732
"full observability","continuous key explanatory variable",0.506841,0.513294,-0.553854
"full observability","continuous key explanatory variable",-0.305789,-0.304215,-0.247532
"full observability","continuous key explanatory variable",-0.773686,-0.808322,0.245202
"full observability","continuous key explanatory variable",-0.256703,-0.257529,-0.111803
"full observability","continuous key explanatory variable",-0.577099,-0.587614,0.427075
"full observability","continuous key explanatory variable",-0.558761,-0.568435,0.433734
"full observability","continuous key explanatory variable",-0.0503735,-0.0503783,0.424978
"full observability","continuous key explanatory variable",-0.294643,-0.296005,-0.430577
"full observability","continuous key explanatory variable",-0.737317,-0.765222,0.164914
"full observability","continuous key explanatory variable",0.203365,0.201983,0.138885
"full observability","continuous key explanatory variable",-0.184269,-0.177471,-0.203383
"full observability","continuous key explanatory variable",-0.745029,-0.774625,0.317126
"full observability","continuous key explanatory variable",0.119403,0.119165,0.30571
"full observability","continuous key explanatory variable",0.395461,0.398371,0.522349
"full observability","continuous key explanatory variable",0.198332,0.198746,0.40158
"full observability","continuous key explanatory variable",0.348202,0.349936,0.610655
"full observability","continuous key explanatory variable",0.670795,0.690581,0.389936
"full observability","continuous key explanatory variable",0.521564,0.529795,0.288869
"full observability","continuous key explanatory variable",0.260083,0.25362,-0.306332
"full observability","continuous key explanatory variable",-0.147138,-0.146924,-0.205441
"full observability","continuous key explanatory variable",0.598368,0.611592,0.293676
"full observability","continuous key explanatory variable",-0.357017,-0.3591,0.514888
"full observability","continuous key explanatory variable",0.723816,0.750001,0.209212
"full observability","continuous key explanatory variable",0.375046,0.376834,0.282908
"full observability","continuous key explanatory variable",0.270926,0.271723,0.645017
"full observability","continuous key explanatory variable",0.132242,0.131739,0.438137
"full observability","continuous key explanatory variable",-0.391951,-0.394763,-0.512218
"full observability","continuous key explanatory variable",-0.26699,-0.267897,-0.363866
"full observability","continuous key explanatory variable",0.311228,0.312847,-0.149876
"full observability","continuous key explanatory variable",0.584512,0.596663,-0.432529
"full observability","continuous key explanatory variable",0.395007,0.397803,-0.416793
"full observability","continuous key explanatory variable",0.686037,0.707179,0.0672344
"full observability","continuous key explanatory variable",-0.499347,-0.500143,0.412682
"full observability","continuous key explanatory variable",-0.559453,-0.568752,0.358669
"full observability","continuous key explanatory variable",-0.270041,-0.27084,0.179944
"full observability","continuous key explanatory variable",-0.11414,-0.113919,0.496989
"full observability","continuous key explanatory variable",-0.540573,-0.549594,-0.452182
"full observability","continuous key explanatory variable",-0.217713,-0.218206,-0.184333
"full observability","continuous key explanatory variable",-0.686585,-0.708109,-0.324695
"full observability","continuous key explanatory variable",0.167079,0.167121,-0.239719
"full observability","continuous key explanatory variable",-0.570233,-0.579291,-0.421582
"full observability","continuous key explanatory variable",0.814337,0.857082,-0.522428
"full observability","continuous key explanatory variable",-0.709065,-0.721467,0.522693
"full observability","continuous key explanatory variable",0.380936,0.383594,0.56246
"full observability","continuous key explanatory variable",-0.419023,-0.422971,0.383217
"full observability","continuous key explanatory variable",0.401033,0.403454,-0.103756
"full observability","continuous key explanatory variable",-0.768895,-0.802579,0.199086
"full observability","continuous key explanatory variable",-0.637999,-0.648817,0.150708
"full observability","continuous key explanatory variable",-0.633706,-0.649544,-0.224536
"full observability","continuous key explanatory variable",0.419619,0.423534,-0.229974
"full observability","continuous key explanatory variable",-0.310154,-0.308699,0.304335
"full observability","continuous key explanatory variable",0.722694,0.748427,-0.237249
"full observability","continuous key explanatory variable",-0.073227,-0.0732186,-0.286794
"full observability","continuous key explanatory variable",0.343663,0.342343,-0.0994116
"full observability","continuous key explanatory variable",-0.710629,-0.73505,0.260749
"full observability","continuous key explanatory variable",-0.312234,-0.313744,0.439851
"full observability","continuous key explanatory variable",-0.207015,-0.207419,0.63016
"full observability","continuous key explanatory variable",0.136609,0.136349,0.361845
"full observability","continuous key explanatory variable",-0.500709,-0.504573,0.324573
"full observability","continuous key explanatory variable",0.3336,0.33531,-0.802226
"full observability","continuous key explanatory variable",0.224035,0.224433,-0.137849
"full observability","continuous key explanatory variable",-0.264879,-0.265776,0.449838
"full observability","continuous key explanatory variable",-0.440698,-0.444896,0.315997
"full observability","continuous key explanatory variable",0.380002,0.382939,0.197439
"full observability","continuous key explanatory variable",0.0893528,0.0894302,0.328095
"full observability","continuous key explanatory variable",0.5246,0.527683,-0.468388
"full observability","continuous key explanatory variable",0.0689867,0.0686119,-0.432642
"full observability","continuous key explanatory variable",0.635769,0.64429,0.334306
"full observability","continuous key explanatory variable",-0.443288,-0.447791,0.0686074
"full observability","continuous key explanatory variable",-0.0158391,-0.0158085,0.27559
"full observability","continuous key explanatory variable",-0.565209,-0.574568,0.549331
"full observability","continuous key explanatory variable",-0.577041,-0.58864,0.393304
"full observability","continuous key explanatory variable",0.382222,0.385174,0.594804
"full observability","continuous key explanatory variable",-0.662225,-0.680839,0.262942
"full observability","continuous key explanatory variable",-0.304229,-0.305522,0.33823
"full observability","continuous key explanatory variable",0.368344,0.371065,-0.348393
"full observability","continuous key explanatory variable",0.716906,0.742417,0.513417
"full observability","continuous key explanatory variable",0.836212,0.880237,0.368311
"full observability","continuous key explanatory variable",-0.236284,-0.235447,-0.358097
"full observability","continuous key explanatory variable",-0.365729,-0.365959,-0.262457
"full observability","continuous key explanatory variable",-0.743954,-0.773552,-0.553466
"full observability","continuous key explanatory variable",-0.322613,-0.323216,0.417149
"full observability","continuous key explanatory variable",0.346064,0.346903,0.402461
"full observability","continuous key explanatory variable",-0.345082,-0.346232,-0.283998
"full observability","continuous key explanatory variable",0.603806,0.614224,0.271814
"full observability","continuous key explanatory variable",-0.326469,-0.327001,0.0776876
"full observability","continuous key explanatory variable",0.489261,0.495853,0.536382
"full observability","continuous key explanatory variable",-0.433125,-0.436473,-0.436981
"full observability","continuous key explanatory variable",-0.624004,-0.639152,-0.495477
"full observability","continuous key explanatory variable",0.689906,0.711993,-0.294275
"full observability","continuous key explanatory variable",-0.677437,-0.696712,-0.481665
"full observability","continuous key explanatory variable",-0.30175,-0.302484,-0.482131
"full observability","continuous key explanatory variable",0.380373,0.383311,-0.338961
"full observability","continuous key explanatory variable",-0.562276,-0.572929,-0.439405
"full observability","continuous key explanatory variable",0.439354,0.443323,0.514828
"full observability","continuous key explanatory variable",-0.581604,-0.593198,0.386847
"full observability","continuous key explanatory variable",0.370316,0.372938,-0.377833
"full observability","continuous key explanatory variable",0.238041,0.238664,0.498669
"full observability","continuous key explanatory variable",0.139791,0.139862,0.419669
"full observability","continuous key explanatory variable",0.0949362,0.0950087,-0.397257
"full observability","continuous key explanatory variable",-0.506964,-0.512412,0.507625
"full observability","continuous key explanatory variable",0.782503,0.818511,0.326386
"full observability","continuous key explanatory variable",-0.763398,-0.796236,-0.636773
"full observability","continuous key explanatory variable",-0.627923,-0.634869,0.33976
"full observability","continuous key explanatory variable",0.483105,0.48721,-0.133286
"full observability","continuous key explanatory variable",-0.356513,-0.358926,0.326995
"full observability","continuous key explanatory variable",-0.43471,-0.43874,-0.117839
"full observability","continuous key explanatory variable",0.301087,0.302465,0.394175
"full observability","continuous key explanatory variable",0.45493,0.45967,0.232013
"full observability","continuous key explanatory variable",0.553607,0.557927,0.35738
"full observability","continuous key explanatory variable",0.0767871,0.0767591,-0.327331
"full observability","continuous key explanatory variable",-0.191595,-0.191907,0.590436
"full observability","continuous key explanatory variable",0.252401,0.249122,0.600962
"full observability","continuous key explanatory variable",-0.314382,-0.316047,-0.0960138
"full observability","continuous key explanatory variable",0.520436,0.528672,0.767532
"full observability","continuous key explanatory variable",-0.553921,-0.562173,0.592549
"full observability","continuous key explanatory variable",-0.737193,-0.761695,0.725076
"full observability","continuous key explanatory variable",0.708343,0.732315,-0.429584
"full observability","continuous key explanatory variable",0.623943,0.637771,0.179436
"full observability","continuous key explanatory variable",0.664474,0.683239,-0.543693
"full observability","continuous key explanatory variable",-0.43301,-0.437486,-0.216735
"full observability","continuous key explanatory variable",-0.458914,-0.455195,-0.483956
"full observability","continuous key explanatory variable",-0.555739,-0.564766,-0.300553
"full observability","continuous key explanatory variable",0.332767,0.334406,-0.285933
"full observability","continuous key explanatory variable",0.445888,0.450806,0.535967
"full observability","continuous key explanatory variable",-0.218501,-0.218935,-0.30411
"full observability","continuous key explanatory variable",-0.324273,-0.325425,-0.696384
"full observability","continuous key explanatory variable",0.257601,0.257057,-0.351125
"full observability","continuous key explanatory variable",0.326352,0.328023,-0.208845
"full observability","continuous key explanatory variable",0.869589,0.924965,-0.205438
"full observability","continuous key explanatory variable",0.750409,0.768884,0.159242
"full observability","continuous key explanatory variable",0.31212,0.313736,0.52636
"full observability","continuous key explanatory variable",0.327562,0.328141,0.320395
"full observability","continuous key explanatory variable",-0.285256,-0.28532,0.10472
"full observability","continuous key explanatory variable",0.488719,0.494648,-0.23465
"full observability","continuous key explanatory variable",-0.391805,-0.394286,0.139524
"full observability","continuous key explanatory variable",0.101803,0.101788,-0.579556
"full observability","continuous key explanatory variable",-0.476341,-0.482154,0.474081
"full observability","continuous key explanatory variable",0.722043,0.748199,0.405536
"full observability","continuous key explanatory variable",-0.737581,-0.765536,0.30939
"full observability","continuous key explanatory variable",-0.657516,-0.676037,-0.650765
"full observability","continuous key explanatory variable",-0.670054,-0.688746,0.488863
"full observability","continuous key explanatory variable",-0.543442,-0.552718,-0.215602
"full observability","continuous key explanatory variable",-0.585939,-0.589862,0.220351
"full observability","continuous key explanatory variable",-0.678381,-0.698529,0.527517
